canton,2019,2020,2021,2022,2023
SAN JOSE,0.654462115,0.656373898,0.658343868,0.660288951,0.665155566
ESCAZU,0.664819739,0.668479728,0.672349667,0.676359077,0.681954888
DESAMPARADOS,0.615848287,0.618861478,0.622059599,0.62553268,0.632058692
PURISCAL,0.487648981,0.494315461,0.500877131,0.507576531,0.516877667
TARRAZU,0.460729103,0.471131152,0.481476297,0.491792076,0.503541755
ASERRI,0.574311093,0.578393293,0.582672288,0.587216389,0.595399972
MORA,0.571615339,0.577040717,0.582612975,0.588399311,0.596829186
GOICOECHEA,0.657069795,0.659812298,0.662730607,0.665757461,0.671197552
SANTA ANA,0.630025393,0.634080129,0.638679396,0.643742478,0.650403445
ALAJUELITA,0.55527871,0.560390423,0.565624802,0.570894038,0.578863287
VAZQUEZ DE CORONADO,0.65511007,0.657657854,0.660643174,0.664042958,0.669764423
ACOSTA,0.423107487,0.426046608,0.428750813,0.431417202,0.440935405
TIBAS,0.680159684,0.682799315,0.685559035,0.688406255,0.693371451
MORAVIA,0.685190972,0.686872491,0.688852171,0.691297969,0.696217624
MONTES DE OCA,0.744189621,0.745704086,0.747419665,0.74898848,0.752301084
TURRUBARES,0.421449525,0.427459288,0.433436876,0.439835842,0.451787048
DOTA,0.511742245,0.519644418,0.527516826,0.535689744,0.545551575
CURRIDABAT,0.647814111,0.651461038,0.655368969,0.659351487,0.665301801
PEREZ ZELEDON,0.461322341,0.461106132,0.460754436,0.460317309,0.469398563
LEON CORTES,0.441323876,0.449675091,0.458753216,0.469255359,0.47977714
ALAJUELA,0.583366803,0.589084237,0.595071983,0.601220017,0.608770031
SAN RAMON,0.517185543,0.521477055,0.525933097,0.530403956,0.539753519
GRECIA,0.551361652,0.556046491,0.560953675,0.565956994,0.574410203
SAN MATEO,0.49983294,0.503167468,0.506564552,0.510539667,0.520056568
ATENAS,0.552899424,0.558943168,0.56518672,0.571688888,0.580157175
NARANJO,0.55272771,0.55986038,0.56705549,0.574286569,0.583329412
PALMARES,0.562759374,0.56672579,0.571084493,0.575917136,0.584352619
POAS,0.527659464,0.533300981,0.539250891,0.545263854,0.554397147
OROTINA,0.52067073,0.52518964,0.529984746,0.534986761,0.544801291
SAN CARLOS,0.461511376,0.469718874,0.478623675,0.488008632,0.501538032
ZARCERO,0.472729004,0.482264873,0.49210668,0.501789355,0.513046598
SARCHI,0.546645979,0.553143901,0.559247132,0.564888841,0.57353188
UPALA,0.309031698,0.314819181,0.320986359,0.327540703,0.343582499
LOS CHILES,0.276006792,0.282006456,0.288857835,0.296733287,0.312735036
GUATUSO,0.303367484,0.30401182,0.304923734,0.305974228,0.320682784
RIO CUARTO,0.415368819,0.428207998,0.517949164,0.533376168,0.5489948
CARTAGO,0.605046554,0.609516471,0.614136237,0.618883338,0.625762555
PARAISO,0.558953208,0.562303098,0.565875487,0.569747939,0.57851211
LA UNION,0.592834826,0.597506885,0.602413505,0.607470528,0.615184547
JIMENEZ,0.467487282,0.475228238,0.482859358,0.490357766,0.501674581
TURRIALBA,0.468596055,0.471565618,0.474725846,0.478371391,0.486685032
ALVARADO,0.526184175,0.532310365,0.538339537,0.54412786,0.553281353
OREAMUNO,0.582779126,0.587139164,0.591623451,0.596270965,0.603787864
EL GUARCO,0.541038495,0.545932463,0.551054887,0.556523716,0.564903399
HEREDIA,0.67629987,0.679095806,0.682154158,0.685552256,0.690553848
BARVA,0.615402507,0.619735674,0.624418296,0.629444935,0.635713906
SANTO DOMINGO,0.642561574,0.645137224,0.648190448,0.651733007,0.657410406
SANTA BARBARA,0.575981703,0.582277911,0.589068902,0.596090974,0.604665264
SAN RAFAEL,0.605595431,0.609693453,0.614031858,0.618584496,0.625358314
SAN ISIDRO,0.620208237,0.625182433,0.630430493,0.635934385,0.642251203
BELEN,0.665041285,0.669130569,0.673311001,0.677206054,0.682069838
FLORES,0.619594248,0.62256768,0.626445961,0.63075438,0.636469699
SAN PABLO,0.681970784,0.685075578,0.68853906,0.69229994,0.697686444
SARAPIQUI,0.336787496,0.350589529,0.36504241,0.379686334,0.398239193
LIBERIA,0.550153348,0.555394214,0.561086373,0.567243036,0.576290038
NICOYA,0.428584799,0.433591802,0.438632749,0.443583937,0.452163614
SANTA CRUZ,0.411183867,0.415261103,0.419844168,0.42530217,0.433689194
BAGACES,0.419414413,0.425669585,0.432294768,0.439255296,0.452098644
CARRILLO,0.461334163,0.467111488,0.473484699,0.480121343,0.489117218
CANAS,0.507349893,0.515376321,0.523944052,0.533128781,0.545015907
ABANGARES,0.407727167,0.415493738,0.42326875,0.43100679,0.443923203
TILARAN,0.491591188,0.498342575,0.50500739,0.511185845,0.521495439
NANDAYURE,0.294740181,0.295126179,0.295440653,0.297169537,0.305786375
LA CRUZ,0.38396421,0.390555115,0.39770064,0.406388302,0.42340592
HOJANCHA,0.25483218,0.260194524,0.266070586,0.272135733,0.281533114
PUNTARENAS,0.444351934,0.451796866,0.459282656,0.466611872,0.478402717
ESPARZA,0.524333291,0.529216984,0.534680984,0.540877775,0.550842614
BUENOS AIRES,0.290521937,0.298323566,0.306402708,0.314804046,0.330974635
MONTES DE ORO,0.478029896,0.48650693,0.49485605,0.503031707,0.513810243
OSA,0.303476365,0.303225045,0.303362737,0.303718734,0.312804387
QUEPOS,0.418539425,0.426303509,0.434548127,0.44329323,0.454996295
GOLFITO,0.219486272,0.22056081,0.221673501,0.223026942,0.233351788
COTO BRUS,0.21611077,0.216030038,0.216346879,0.217250313,0.229483648
PARRITA,0.423065213,0.434156004,0.445241578,0.456185376,0.470641714
CORREDORES,0.360725891,0.36438577,0.368508166,0.373039244,0.38477115
GARABITO,0.44563514,0.453158634,0.461837524,0.471763073,0.485169564
MONTEVERDE,NA,NA,NA,0.487952614,0.501455418
PUERTO JIMENEZ,NA,NA,NA,0.284137578,0.295646568
LIMON,0.498593104,0.506737069,0.515145561,0.523761888,0.535446876
POCOCI,0.412960079,0.420034606,0.427632487,0.435638231,0.447131066
SIQUIRRES,0.361612581,0.369161388,0.377094762,0.385499531,0.396975743
TALAMANCA,0.238020481,0.248596198,0.259417307,0.270573285,0.287546247
MATINA,0.284131702,0.295019245,0.306137197,0.317529037,0.331584856
GUACIMO,0.374887086,0.384894002,0.39525765,0.405715941,0.419618606
ALAJUELA,NA,NA,NA,NA,NA
CARTAGO,NA,NA,NA,NA,NA
HEREDIA,NA,NA,NA,NA,NA
GUANACASTE,NA,NA,NA,NA,NA
PUNTARENAS,NA,NA,NA,NA,NA
LIMON,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
COSTA RICA,NA,NA,NA,NA,NA
