canton,2019,2020,2021,2022,2023
SAN JOSE,0.650494717,0.65300206,0.655606118,0.658204571,0.663478233
ESCAZU,0.66019873,0.6640331,0.668135581,0.672417145,0.678379091
DESAMPARADOS,0.608099129,0.61084512,0.613834612,0.617118048,0.623989333
PURISCAL,0.476437637,0.480474706,0.484529092,0.48876214,0.498338824
TARRAZU,0.458967766,0.466891154,0.474869274,0.482848962,0.494408539
ASERRI,0.566858044,0.568791814,0.570997115,0.57349466,0.581790034
MORA,0.565045328,0.568657685,0.57250907,0.576600646,0.58502431
GOICOECHEA,0.64905889,0.65141485,0.653989966,0.656704544,0.66257388
SANTA ANA,0.63286598,0.636345549,0.640442262,0.645061621,0.651942716
ALAJUELITA,0.536273288,0.540526877,0.544982965,0.549539699,0.558155113
VAZQUEZ DE CORONADO,0.653582144,0.655521532,0.657943465,0.660819281,0.666824634
ACOSTA,0.421987877,0.422367816,0.422659215,0.422957473,0.432571729
TIBAS,0.663275971,0.666636312,0.670148248,0.673775806,0.679250085
MORAVIA,0.683709487,0.68520458,0.687075309,0.689430868,0.694638948
MONTES DE OCA,0.743342994,0.745552289,0.747978168,0.750346592,0.754161094
TURRUBARES,0.437291955,0.43949015,0.441843727,0.444651627,0.45654106
DOTA,0.490959676,0.497902701,0.504917604,0.512208776,0.522137879
CURRIDABAT,0.644362828,0.647714105,0.651377585,0.655159456,0.66150006
PEREZ ZELEDON,0.44652037,0.443651328,0.440755288,0.437799465,0.446940988
LEON CORTES,0.432122341,0.434726606,0.438201552,0.443070011,0.453399671
ALAJUELA,0.590714355,0.595647559,0.600922312,0.606396945,0.614160621
SAN RAMON,0.504789748,0.507659957,0.510796406,0.514014438,0.523659187
GRECIA,0.530905271,0.533294384,0.535979173,0.538824209,0.547601791
SAN MATEO,0.496328588,0.49683205,0.497516087,0.498729807,0.508453457
ATENAS,0.534362635,0.53673259,0.539398987,0.542378189,0.551183086
NARANJO,0.527675426,0.533398878,0.539254364,0.545181953,0.554589159
PALMARES,0.525037746,0.52776628,0.530927933,0.534582606,0.543539265
POAS,0.51816312,0.52247723,0.527158749,0.531956335,0.54147578
OROTINA,0.501523803,0.504610241,0.508072716,0.511793817,0.522033457
SAN CARLOS,0.46646273,0.472523122,0.479393376,0.486792389,0.500224521
ZARCERO,0.475060769,0.483379374,0.492083247,0.500696009,0.511822691
SARCHI,0.502760482,0.506982204,0.5109564,0.514596696,0.523675359
UPALA,0.349320629,0.354961864,0.36120453,0.367858727,0.383821781
LOS CHILES,0.320202222,0.324269938,0.329414365,0.335635069,0.351648195
GUATUSO,0.357256913,0.358167067,0.359663869,0.361431556,0.376393171
RIO CUARTO,0.390271465,0.400683496,0.536376259,0.557184057,0.572348765
CARTAGO,0.592653613,0.595863996,0.599276497,0.602852,0.609945072
PARAISO,0.515112917,0.51378691,0.512761712,0.512103039,0.520987324
LA UNION,0.583156552,0.58578872,0.588724166,0.591856104,0.599846173
JIMENEZ,0.407340058,0.410815394,0.414221349,0.417524564,0.428260932
TURRIALBA,0.421008718,0.418993159,0.417188082,0.415852091,0.42386389
ALVARADO,0.484693077,0.487671884,0.490650588,0.493485636,0.502822092
OREAMUNO,0.566436408,0.568943751,0.571656671,0.574580194,0.582290259
EL GUARCO,0.535939134,0.538522913,0.541391662,0.544612581,0.553141444
HEREDIA,0.670894435,0.673552466,0.676532745,0.679879135,0.685322249
BARVA,0.616210508,0.619768918,0.623759834,0.628150555,0.634805534
SANTO DOMINGO,0.634269443,0.636333317,0.638912581,0.642009845,0.647994708
SANTA BARBARA,0.568285509,0.574086906,0.580419591,0.586983898,0.595821833
SAN RAFAEL,0.609472527,0.612374517,0.615608893,0.619130772,0.62613026
SAN ISIDRO,0.627903514,0.631923779,0.636313601,0.641036628,0.647480565
BELEN,0.670247475,0.674491089,0.6789085,0.683197095,0.688343045
FLORES,0.612650068,0.614861716,0.617965833,0.62160183,0.627758504
SAN PABLO,0.680430596,0.682530108,0.685061646,0.687959554,0.693462947
SARAPIQUI,0.345948898,0.356087506,0.367140408,0.378583065,0.397185835
LIBERIA,0.540453508,0.544216368,0.548540338,0.553397678,0.563003874
NICOYA,0.423571583,0.425371457,0.427318042,0.429202274,0.438018336
SANTA CRUZ,0.386068592,0.39006267,0.394630113,0.400034666,0.409415054
BAGACES,0.416355099,0.421322134,0.42680352,0.432667509,0.445854619
CARRILLO,0.452866347,0.458352544,0.464505782,0.47097675,0.480919096
CANAS,0.479659386,0.485760085,0.49249039,0.499875311,0.511840333
ABANGARES,0.382689826,0.386412365,0.390311131,0.394241658,0.407114257
TILARAN,0.486574498,0.488122595,0.489760786,0.491040782,0.501486171
NANDAYURE,0.264033338,0.259286385,0.254474803,0.250960311,0.259457343
LA CRUZ,0.393263669,0.398127643,0.403835599,0.411075251,0.427782639
HOJANCHA,0.244895807,0.24615909,0.24802187,0.249978818,0.259272732
PUNTARENAS,0.43074602,0.436040682,0.441509208,0.446891567,0.458999111
ESPARZA,0.495214152,0.497528199,0.500561531,0.504387791,0.514798123
BUENOS AIRES,0.321273731,0.328091889,0.33542693,0.343131528,0.359296861
MONTES DE ORO,0.42330113,0.426610555,0.429910599,0.433101698,0.444118372
OSA,0.335523066,0.332095611,0.329217095,0.326582921,0.335665185
QUEPOS,0.433906564,0.437691708,0.442094778,0.447043008,0.45895121
GOLFITO,0.248112961,0.243112847,0.238317858,0.233764419,0.243980688
COTO BRUS,0.223955608,0.218499248,0.213707088,0.209575761,0.222200657
PARRITA,0.419372623,0.426914712,0.434651188,0.442357991,0.457045716
CORREDORES,0.370165643,0.369842474,0.370148886,0.370919203,0.382898718
GARABITO,0.484733165,0.490598816,0.497781083,0.506254681,0.519292405
MONTEVERDE,NA,NA,NA,0.463677152,0.477319232
PUERTO JIMENEZ,NA,NA,NA,0.290651924,0.301936943
LIMON,0.484112189,0.489028425,0.494319834,0.499867254,0.510985667
POCOCI,0.40671769,0.41037173,0.414670853,0.419448996,0.431270427
SIQUIRRES,0.345843031,0.3483598,0.351438135,0.35508885,0.366414331
TALAMANCA,0.27598095,0.284312771,0.293115716,0.302290052,0.319173473
MATINA,0.288089235,0.294099066,0.300523086,0.307325308,0.321394146
GUACIMO,0.369727977,0.37692097,0.384653623,0.392587252,0.406948101
ALAJUELA,NA,NA,NA,NA,NA
CARTAGO,NA,NA,NA,NA,NA
HEREDIA,NA,NA,NA,NA,NA
GUANACASTE,NA,NA,NA,NA,NA
PUNTARENAS,NA,NA,NA,NA,NA
LIMON,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
COSTA RICA,NA,NA,NA,NA,NA
