canton,2019,2020,2021,2022,2023
SAN JOSE,0.22386304,0.183911788,0.167605717,0.168411585,0.168620104
ESCAZU,0.142300395,0.138869003,0.105525387,0.11134319,0.095770989
DESAMPARADOS,0.17257378,0.170092366,0.146049309,0.139123481,0.142554685
PURISCAL,0.163341452,0.142119241,0.116141053,0.115938942,0.14322068
TARRAZU,0.172928029,0.185220084,0.122607512,0.177023682,0.195229056
ASERRI,0.193437094,0.147487466,0.15428443,0.148149681,0.123589214
MORA,0.181407389,0.1873793,0.184190218,0.127976002,0.103018505
GOICOECHEA,0.153296267,0.133362537,0.115590823,0.126331695,0.121111527
SANTA ANA,0.126102733,0.146828149,0.110229831,0.111498049,0.147378825
ALAJUELITA,0.193898116,0.146047298,0.145836995,0.123877705,0.142379887
VAZQUEZ DE CORONADO,0.134513731,0.114549566,0.106187884,0.099648561,0.109391132
ACOSTA,0.182227928,0.14968173,0.128954314,0.160711477,0.163494179
TIBAS,0.14473446,0.152132468,0.122390206,0.115168491,0.106742134
MORAVIA,0.121319537,0.106489215,0.081558613,0.091954194,0.070825231
MONTES DE OCA,0.087298913,0.095321986,0.088380404,0.067785938,0.069659366
TURRUBARES,0.161654451,0.223656791,0.149358481,0.143306695,0.181453245
DOTA,0.155873184,0.248749736,0.197006838,0.167157615,0.171165248
CURRIDABAT,0.150043749,0.140058961,0.121525192,0.114955164,0.125071873
PEREZ ZELEDON,0.21116188,0.168779197,0.152541889,0.164928729,0.155734899
LEON CORTES,0.242797666,0.175222741,0.188372349,0.140309344,0.192516959
ALAJUELA,0.181987429,0.167663065,0.149641909,0.153524451,0.150598274
SAN RAMON,0.191094444,0.202080015,0.179578097,0.172118128,0.177121864
GRECIA,0.193168865,0.197912466,0.160813522,0.15843565,0.160342157
SAN MATEO,0.168775352,0.167580512,0.128022477,0.128889097,0.183445202
ATENAS,0.156832326,0.191171717,0.161698319,0.15559493,0.183899252
NARANJO,0.164264364,0.176838862,0.162750541,0.1441931,0.142702371
PALMARES,0.179850815,0.164012387,0.166845304,0.14906455,0.132541446
POAS,0.188065953,0.143321872,0.122015596,0.123090062,0.137008056
OROTINA,0.218949388,0.239574941,0.194811952,0.194739688,0.18886664
SAN CARLOS,0.227308134,0.208829,0.202962236,0.199444699,0.181580783
ZARCERO,0.177366278,0.190828971,0.201898858,0.192023943,0.185880861
SARCHI,0.168189072,0.171532912,0.121468155,0.126525058,0.149138118
UPALA,0.263494079,0.243308937,0.20111322,0.196020054,0.179701376
LOS CHILES,0.290081538,0.268947171,0.252231245,0.243311254,0.231729419
GUATUSO,0.222391945,0.229914373,0.156653748,0.164499826,0.171980703
RIO CUARTO,0.283423768,0.224085755,0.196315476,0.207836358,0.215357644
CARTAGO,0.151697396,0.149600335,0.120203242,0.119572516,0.13340804
PARAISO,0.160799733,0.17136143,0.163047492,0.16181263,0.174349373
LA UNION,0.175923557,0.144219673,0.124112191,0.109382704,0.106099795
JIMENEZ,0.22941297,0.178962704,0.166658962,0.185916248,0.162152159
TURRIALBA,0.23050828,0.242971739,0.232495384,0.217043052,0.23304261
ALVARADO,0.167416331,0.160229202,0.139288222,0.181655679,0.180161663
