canton,2019,2020,2021,2022,2023
SAN JOSE,0.748586904,0.705694696,0.720177768,0.729003148,0.754896452
ESCAZU,0.802633916,0.790871554,0.794956484,0.795625317,0.810971759
DESAMPARADOS,0.747333523,0.717668473,0.731122211,0.748425323,0.762057223
PURISCAL,0.755945133,0.749569795,0.755834063,0.770532076,0.766316748
TARRAZU,0.692725438,0.661340298,0.686581059,0.70512097,0.717538096
ASERRI,0.738978521,0.7112487,0.716488159,0.73979417,0.775146843
MORA,0.770837362,0.761895819,0.764605657,0.77043027,0.779413128
GOICOECHEA,0.748650071,0.721605846,0.726305581,0.736129162,0.759148628
SANTA ANA,0.859066042,0.830720824,0.820697192,0.84563683,0.836020651
ALAJUELITA,0.69648343,0.682021813,0.697509093,0.720198012,0.72422941
VAZQUEZ DE CORONADO,0.740920714,0.725362651,0.721484738,0.748434724,0.746601101
ACOSTA,0.746198,0.723079313,0.745333888,0.717567484,0.75826378
TIBAS,0.720579715,0.68842684,0.700766658,0.71117715,0.730371857
MORAVIA,0.757612292,0.746571309,0.742797403,0.752080701,0.767216223
MONTES DE OCA,0.844852133,0.820057371,0.836738703,0.844456961,0.855957656
TURRUBARES,0.712377874,0.751005967,0.737466393,0.791919067,0.77119116
DOTA,0.668792985,0.644622847,0.749928304,0.705840604,0.729957976
CURRIDABAT,0.837636079,0.812810555,0.801983043,0.836778836,0.846050935
PEREZ ZELEDON,0.711520556,0.714798251,0.692933267,0.706032115,0.716759444
LEON CORTES,0.647049854,0.662199963,0.688222251,0.681881395,0.71572512
ALAJUELA,0.788883808,0.77179339,0.772372697,0.792451371,0.807849435
SAN RAMON,0.712888218,0.676067623,0.732215486,0.76742613,0.777414099
GRECIA,0.679505578,0.663355265,0.67006113,0.690600659,0.689866914
SAN MATEO,0.707459446,0.684245577,0.713236552,0.710106568,0.695149512
ATENAS,0.745332948,0.735623754,0.744692581,0.755117244,0.760098963
NARANJO,0.733641072,0.7333435,0.742823865,0.736061684,0.746035099
PALMARES,0.735268283,0.723086096,0.727870067,0.755081542,0.768350842
POAS,0.714748565,0.719236909,0.708850346,0.707433638,0.720649637
OROTINA,0.647548645,0.619472018,0.638275343,0.626140285,0.624858294
SAN CARLOS,0.655256719,0.63970853,0.608237779,0.660351011,0.675247617
ZARCERO,0.726433728,0.640340207,0.712817108,0.743733495,0.733392653
SARCHI,0.607981965,0.605196524,0.604747963,0.620795698,0.631012453
UPALA,0.664478227,0.643834589,0.623902558,0.679408789,0.683118317
LOS CHILES,0.565323834,0.566231296,0.508552699,0.585647375,0.594148327
GUATUSO,0.635026103,0.632622054,0.610612212,0.621483294,0.64822481
RIO CUARTO,0.671448469,0.657537036,0.702247491,0.710933545,0.759075324
CARTAGO,0.762874544,0.748772709,0.766040911,0.765448755,0.777717537
PARAISO,0.719067333,0.713911413,0.721323635,0.725768765,0.748604411
LA UNION,0.757810286,0.733327965,0.742806028,0.753485433,0.777822395
