canton,2019,2020,2021,2022,2023
SAN JOSE,0.804546967,0.764346486,0.76957456,0.788258222,0.808399253
ESCAZU,0.881574387,0.868959758,0.876406422,0.884329777,0.904502949
DESAMPARADOS,0.777178362,0.745513406,0.759682973,0.777166756,0.791746362
PURISCAL,0.769494477,0.76176183,0.76386826,0.777985806,0.771088811
TARRAZU,0.717638609,0.68644002,0.715648194,0.734438519,0.747580109
ASERRI,0.766806509,0.731061489,0.749816324,0.772830557,0.797469531
MORA,0.826156016,0.806960506,0.817768336,0.837251292,0.829532835
GOICOECHEA,0.788076129,0.762254542,0.767835716,0.786095656,0.801226239
SANTA ANA,0.906952454,0.880664902,0.868403292,0.894925492,0.886397931
ALAJUELITA,0.725514044,0.70320733,0.718767679,0.738796756,0.746493366
VAZQUEZ DE CORONADO,0.817096079,0.802958034,0.800784085,0.833671408,0.833536828
ACOSTA,0.766146089,0.743316892,0.762424747,0.734047354,0.77386727
TIBAS,0.791459503,0.756876397,0.773248289,0.788437502,0.808051715
MORAVIA,0.8413876,0.83230563,0.829560293,0.845086258,0.866304563
MONTES DE OCA,0.877307493,0.85314465,0.869390205,0.878030115,0.884758893
TURRUBARES,0.750259434,0.770673945,0.759848829,0.811873289,0.797723659
DOTA,0.683188707,0.677876534,0.765636844,0.72261104,0.743705761
CURRIDABAT,0.860473348,0.831062672,0.820033475,0.849484753,0.855543868
PEREZ ZELEDON,0.730155546,0.735576763,0.707888115,0.722148165,0.732047597
LEON CORTES,0.695534672,0.694267119,0.735272821,0.717078531,0.761171782
ALAJUELA,0.802824064,0.785811715,0.784717209,0.80326059,0.822415226
SAN RAMON,0.798526717,0.756919006,0.763250949,0.795862231,0.807635135
GRECIA,0.793520481,0.775371025,0.782986913,0.805998647,0.806551893
SAN MATEO,0.767636811,0.754773286,0.765235922,0.762208413,0.787215281
ATENAS,0.828521858,0.815114139,0.825716739,0.841195618,0.839580656
NARANJO,0.76977612,0.763128656,0.774954841,0.771562809,0.780282752
PALMARES,0.781538221,0.764637593,0.771300517,0.790541627,0.815458322
POAS,0.775801294,0.76848218,0.759099226,0.749915066,0.789473977
OROTINA,0.76364216,0.739155245,0.743556777,0.747216229,0.74241673
SAN CARLOS,0.779930315,0.778374019,0.730375914,0.796421368,0.809221925
ZARCERO,0.794047773,0.776549012,0.784520248,0.801003839,0.804070605
SARCHI,0.737790705,0.741184937,0.734795662,0.753168443,0.777361928
UPALA,0.700536123,0.682892371,0.656845493,0.721494135,0.720913718
LOS CHILES,0.648589739,0.640392021,0.577027435,0.66010801,0.666477165
GUATUSO,0.698323898,0.702524083,0.672694059,0.689361393,0.725677889
RIO CUARTO,0.725702506,0.718653622,0.716760904,0.748437238,0.765517018
CARTAGO,0.816011372,0.798656596,0.812345777,0.816654242,0.830973018
PARAISO,0.783000782,0.788510612,0.792854416,0.793731343,0.813975933
