canton,IPM
SAN JOSE,0.046157227
ESCAZU,0.029488521
DESAMPARADOS,0.030919748
PURISCAL,0.0298643
TARRAZU,0.082624119
ASERRI,0.038877379
MORA,0.035048737
GOICOECHEA,0.036114305
SANTA ANA,0.026333365
ALAJUELITA,0.055070464
VAZQUEZ DE CORONADO,0.021954902
ACOSTA,0.04002454
TIBAS,0.02683392
MORAVIA,0.020119041
MONTES DE OCA,0.013564016
TURRUBARES,0.053700012
DOTA,0.074834368
CURRIDABAT,0.035776725
PEREZ ZELEDON,0.050695242
LEON CORTES,0.07244257
ALAJUELA,0.035852332
SAN RAMON,0.044001029
GRECIA,0.038542255
SAN MATEO,0.051815932
ATENAS,0.030760306
NARANJO,0.041957605
PALMARES,0.027548949
POAS,0.041455153
OROTINA,0.040030053
SAN CARLOS,0.074803374
ZARCERO,0.048282033
SARCHI,0.042728607
UPALA,0.111683428
LOS CHILES,0.188179463
GUATUSO,0.086998469
RIO CUARTO,0.060810229
CARTAGO,0.037873505
PARAISO,0.035006955
LA UNION,0.03701918
JIMENEZ,0.044969786
TURRIALBA,0.095845435
ALVARADO,0.056523262
OREAMUNO,0.032982257
EL GUARCO,0.033826244
HEREDIA,0.030171832
BARVA,0.021489416
SANTO DOMINGO,0.015976052
SANTA BARBARA,0.027294286
SAN RAFAEL,0.023774589
SAN ISIDRO,0.022362649
BELEN,0.019864889
FLORES,0.01538773
SAN PABLO,0.017474393
SARAPIQUI,0.08815834
LIBERIA,0.063079667
NICOYA,0.057955458
SANTA CRUZ,0.04633413
BAGACES,0.068489864
CARRILLO,0.057704982
CANAS,0.046837882
ABANGARES,0.055402189
TILARAN,0.039856889
NANDAYURE,0.054604503
LA CRUZ,0.113001628
HOJANCHA,0.052470854
PUNTARENAS,0.057496646
ESPARZA,0.040232103
BUENOS AIRES,0.087630011
MONTES DE ORO,0.042604699
OSA,0.084335453
QUEPOS,0.059078371
GOLFITO,0.073605375
COTO BRUS,0.169850466
PARRITA,0.060188072
CORREDORES,0.061059388
GARABITO,0.063578232
LIMON,0.033955936
POCOCI,0.045083964
SIQUIRRES,0.077376434
TALAMANCA,0.054877439
MATINA,0.085618831
GUACIMO,0.159953284
