delito,frecuencia_de_delitos
HURTO,79231
ASALTO,67374
ROBO,55178
DELITOS CONTRA LA PROPIEDAD,45854
ROBO DE VEHICULO,23138
TACHA DE VEHICULO,19683
ESTAFAS Y OTRAS DEFRAUDACIONES,18302
DELITOS CONTRA LA VIDA,7971
OTROS DELITOS CONTRA LA PROPIEDAD,5421
DELITOS INFORMATICOS,4903
DELITOS CONTRA LA LIBERTAD,4222
HOMICIDIO,3810
OTROS DELITOS,2752
DELITOS SEXUALES,1683
DELITOS CONTRA LOS DEBERES DE LA FUNCION PUBLICA,1311
NO DELITO,860
DELITOS CONTRA LA SEGURIDAD COMUN,666
DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,559
DELITOS CONTRA LA FAMILIA,514
INFRACCION A LA LEY DE PSICOTROPICOS,501
INFRACCION A LA LEY DE BIENESTAR ANIMAL,362
LEY CONTRA EL ACOSO SEXUAL CALLEJERO,240
DELITOS CONTRA EL AMBITO DE LA INTIMIDAD,194
DELITOS AMBIENTALES,128
DELITOS CONTRA LA AUTORIDAD PUBLICA,89
DELITOS CONTRA EL HONOR,87
DELITOS CONTRA LA FE PUBLICA,11
TRATA DE PERSONAS,9
DELITOS CONTRA LA BUENA FE DELOS NEGOCIOS,3
DELITOS CONTRA LA TRANQUILIDAD PUBLICA,3
DELITOS CONTRA LOS PODERES PUBLICOS Y EL ORDEN CONSTITUCIONAL,2
DESCONOCIDO,2
TRAFICO DE PERSONAS,2
