nacionalidad,frecuencia_de_nacionalidades
NO APLICA,185975
COSTA RICA,126959
NICARAGUA,17179
DESCONOCIDO,4710
ESTADOS UNIDOS,1899
VENEZUELA,821
ALEMANIA,723
COLOMBIA,612
FRANCIA,575
CANADA,530
EL SALVADOR,438
ESPANA,437
INGLATERRA,347
PAISES BAJOS (HOLANDA),308
ITALIA,248
PANAMA,225
SUIZA,216
HONDURAS,215
ARGENTINA,211
CHINA,196
MEXICO,191
ISRAEL,146
CUBA,128
PERU,119
BELGICA,113
BRASIL,100
GUATEMALA,100
AUSTRIA,96
DINAMARCA,96
AUSTRALIA,91
CHILE,84
SUECIA,74
REPUBLICA DOMINICANA,66
NORUEGA,54
POLONIA,49
REPUBLICA CHECA,46
IRLANDA,45
INDIA,43
RUSIA,40
URUGUAY,32
ECUADOR,31
PORTUGAL,29
NUEVA ZELANDA,27
JAPON,26
FINLANDIA,25
HUNGRIA,25
HAITI,22
IRLANDA DEL NORTE,21
"DOMINICANA, REPUBLICA",20
BOLIVIA,19
UCRANIA,18
RUMANIA,14
TURQUIA,14
COREA DEL SUR,13
ESLOVAQUIA,13
FILIPINAS,13
LITUANIA,12
GRECIA,11
JAMAICA,11
DOMINICA,10
"CHECA, REPUBLICA",9
SUDAFRICA,8
PUERTO RICO,7
ESCOCIA,6
TAIWAN,6
CROACIA,5
EGIPTO,5
ESTONIA,5
LIBANO,5
LUXEMBURGO,5
BULGARIA,4
ESLOVENIA,4
HONG KONG,4
IRAN,4
MICRONESIA,4
SERBIA,4
"VIRGENES BRITANICAS, ISLAS",4
BELICE,3
COSTA DE MARFIL,3
INDONESIA,3
NEPAL,3
PARAGUAY,3
SINGAPUR,3
ALBANIA,2
BAHAMAS,2
COREA DEL NORTE,2
GALES,2
MALASIA,2
MALTA,2
MARTINICA,2
PAKISTAN,2
REINO UNIDO,2
TRINIDAD Y TOBAGO,2
AFGANISTAN,1
ANDORRA,1
ANGOLA,1
ANTIGUA Y BARBUDA,1
ARABIA SAUDITA,1
ARMENIA,1
AZERBAIYAN,1
BIELORRUSIA,1
CAMBOYA,1
"CONGO, REPUBLICA DEMOCRATICA DEL",1
EMIRATOS ARABES UNIDOS,1
ETIOPIA,1
GEORGIA,1
GHANA,1
GRANADA,1
GUINEA,1
IRAK,1
ISLANDIA,1
KAZAJISTAN,1
LETONIA,1
MARRUECOS,1
NAMIBIA,1
SAN CRISTOBAL Y NIEVES,1
TAILANDIA,1
TANZANIA,1
TUNEZ,1
UZBEKISTAN,1
