subdelito,frecuencia_de_subdelitos
POR DESCUIDO,41511
ARMA DE FUEGO,30820
FORZADURA,29225
TACHA DE VEHICULO,19683
HURTO,15744
ASALTO,15545
POR CONFIANZA,14753
ARMA BLANCA,14555
ROBO,14228
CARTERISTA,12343
DESCUIDO,11862
TIMOS,10430
OTRO O INDETERMINADO,10354
ARREBATO,8674
BOQUETE,7330
ESTAFA,6746
ESCALAMIENTO,5912
GOLPES,5523
ROBO DE VEHICULO,4225
DELITOS CONTRA LA LIBERTAD DE DETERMINACION,4081
ARDID PREVIO/DISTRACCION,4016
RUPTURA VENTANA,3826
COCHERAZO,3682
AGRESION,3424
CORTA CANDADOS,3304
INTIMIDACION VERBAL,3143
QUITAN CELOSIAS,3082
ESTAFA INFORMATICA,3002
DAÑOS,2559
CON LLAVE,2370
LESIONES,2218
AJUSTE DE CUENTAS/VENGANZA,2175
CANDADO CHINO,1646
INMOVILIZACION,1520
ADMINISTRACION FRAUDULENTA Y APROPIACIONES INDEBIDAS,1364
"VIOLACION, ESTUPRO Y ABUSO DESHONESTO",1285
EXTORSIONES,1249
ABUSO DE AUTORIDAD,1234
PROGRESIVOS,1183
FRAUDE,1084
RETIRO DE CAJERO AUTOMATICO,960
ROBO DE GANADO,863
SUPLANTACION DE IDENTIDAD,771
ARMA CONTUNDENTE,746
HOMICIDIO CULPOSO,654
HOMICIDIO,604
DISCUSION/RIÑA,532
ENCUBRIMIENTO Y DIVULGACION DE INFORMACION CONFIDENCIAL,526
MUERTE INDETERMINADA,522
DESAPARICION DE MENOR,476
TRAFICO NACIONAL DE DROGAS,434
INCENDIOS Y OTROS ESTRAGOS,410
"CORRUPCION, PROXENETISMO,RUFIANERIA",378
DESAPARICION DE MAYOR,376
VIOLENCIA DOMESTICA,367
ARDID PREVIO,366
POR LA COMISION DE OTRO DELITO,365
USO DE SOMNIFERO,347
SUPLANTACION DE PAGINAS ELECTRONICAS,276
USURPACIONES,272
LEY CONTRA EL ACOSO SEXUAL CALLEJERO,240
DELITOS CONTRA EL AMBIENTE,238
MUERTE DEL ANIMAL,209
DIFUSION DE INFORMACION FALSA,205
NO DETERMINADO,203
DESCONOCIDO,188
GANZUA/VARILLA,182
SUICIDIO,174
MUERTE ACCIDENTAL,163
FACILITACION DE DELITO INFORMATICO,155
SUSTRACCION DE PERSONA MENOR O INCAPAZ Y CUIDO LEGAL DE MENORES SUJETOS A ADOPCION,152
DELITOS CONTRA LA LIBERTAD INDIVIDUAL,140
VIOLACION DE DOMICILIO,136
ESPIONAJE INFORMATICO,127
ABANDONO DE PERSONAS,116
MALTRATO DE ANIMALES,98
"INJURIA, CALUMNIA, DIFAMACION",87
MUERTE NATURAL,84
SEDUCCION O ENCUENTRO CON MENORES POR MEDIOS ELECTRONICOS,80
LEY FORESTAL,74
INCUMPLIMIENTO DE DEBERES FAMILIARES,73
REPELIENDO ACTIVIDAD CRIMINAL,70
LEGITIMACION DE CAPITALES O LAVADO DE DINERO,56
USO DE GAS,56
DESOBEDIENCIA,54
CRUELDAD CONTRA LOS ANIMALES,50
FEMICIDIO,48
CORRUPCION DE FUNCIONARIOS,46
VIOLACION DE SECRETOS,45
INSTALACION O PROPAGACION DE PROGRAMAS INFORMATICOS MALICIOSOS,43
LEY DE CONSERVACIÓN DE LA VIDA SILVESTRE,33
FALSAS ACUSACIONES,30
PROFESIONAL,28
SABOTAJE INFORMATICO,22
PECULADO Y MALVERSACION,17
DAÑO INFORMATICO,15
RESISTENCIA,13
AMENAZA A UN FUNCIONARIO PUBLICO,12
CONCUSION Y EXACCION,12
DELITOS CONTRA LOS MEDIOS DE TRANSPORTE Y DE COMUNICACIÓN,10
USURPACIÓN DE AGUAS,10
TRAFICO INTERNACIONAL DE DROGAS,9
ABORTO,8
DELITOS CONTRA LA SALUD PUBLICA,8
OTRO INDETERMINADO,8
PROTECCION DE MENORES E INAPACES,8
"INFRACCION A LEY DE REGISTRO, SECUESTRO Y EXAMEN DE DOCUMENTOS PRIVADOS E INTERVENCION DE LAS COMUNICACIONES",7
INFRACCION LEY PATRIMONIO ARQUEOLOGICO,7
LEY DE GESTIÓN INTEGRAL DE RESIDUOS,6
PELEA ENTRE ANIMALES,5
TRATA SEXUAL,5
EJERCICIO ILEGAL DE UNA PROFESION,4
IDEOLOGICO,3
INFRACCION A LA LEY DE GANADO,3
INTIMIDACION PUBLICA,3
LEY DE LA ZONA MARÍTIMO TERRESTRE,3
TURBACION DE ACTOS RELIGIOSOS Y PROFANACIONES,3
"USO ILEGAL DE UNIFORMES, INSIGNIAS O DISPOSITIVOS POLICIALES",3
EVASION Y QUEBRANTAMIENTODE PENA,2
LEY DE PESCA Y ACUICULTURA,2
PERSONAS MAYORES (COYOTAJE),2
PREVARICATO Y PATROCINIO INFIEL,2
USURA Y AGIOTAJE,2
ATENTADOS POLITICOS,1
DELITOS CONTRA LA CONFIANZA PUBLICA,1
FACILITACION CULPOSA,1
FALSEDAD IDEOLOGICA EN CERTIFICADOS MEDICOS,1
FALSO TESTIMONIO Y SOBORNO DE TESTIGO,1
MATRIMONIOS ILEGALES,1
MENDICIDAD,1
NARCOTRFICO Y CRIMEN ORGANIZADO,1
OTRO,1
RAPTO,1
TRATA LABORAL,1
VIOLACION DE LA CUSTODIA DE COSAS,1
VIOLACION DE SELLOS,1
