canton,año,tasa_hombres_100k,tasa_mujeres_100k
ABANGARES,2019,121.95797993236874,16.630633627141194
ABANGARES,2020,55.435445423803984,11.087089084760796
ABANGARES,2021,49.89190088142358,27.717722711901992
ABANGARES,2023,77.60962359332557,22.174178169521593
ABANGARES,2024,83.15316813570597,55.435445423803984
ABANGARES,2025,38.80481179666278,33.26126725428239
ACOSTA,2019,44.534613291107924,34.638032559750606
ACOSTA,2020,9.896580731357316,0
ACOSTA,2021,4.948290365678658,14.844871097035973
ACOSTA,2023,34.638032559750606,34.638032559750606
ACOSTA,2024,64.32777475382255,29.689742194071947
ACOSTA,2025,19.793161462714632,0
ALAJUELA,2019,264.8242743814882,182.04216787112668
ALAJUELA,2020,152.22491623706284,91.80574845224925
ALAJUELA,2021,157.71756785386407,83.56677102704738
ALAJUELA,2023,224.80638403050776,143.59360655351804
ALAJUELA,2024,179.29584206272608,109.06836781933885
ALAJUELA,2025,86.31309683544801,62.77316133487127
ALAJUELITA,2019,198.4459363684394,144.324317358865
ALAJUELITA,2020,108.24323801914873,48.96717910390062
ALAJUELITA,2021,101.80018813705657,41.235519245389995
ALAJUELITA,2023,188.13705655709188,91.49130832570906
ALAJUELITA,2024,192.00288648634717,87.62547839645374
ALAJUELITA,2025,87.62547839645374,21.906369599113436
ALVARADO,2019,97.82001117942984,20.961430967020682
ALVARADO,2020,111.79429849077697,104.8071548351034
ALVARADO,2021,41.922861934041364,34.9357182783678
ALVARADO,2023,55.89714924538848,48.91000558971492
ALVARADO,2024,55.89714924538848,34.9357182783678
ALVARADO,2025,20.961430967020682,6.98714365567356
ASERRI,2019,141.643059490085,101.91390865750017
ASERRI,2020,72.54888412906791,51.8206315207628
ASERRI,2021,63.91211220894079,44.911213984661096
ASERRI,2023,120.91480688177987,53.54798590478823
ASERRI,2024,95.00449112139846,51.8206315207628
ASERRI,2025,48.365922752711946,15.54618945622884
ATENAS,2019,70.69913589945011,35.349567949725056
ATENAS,2020,66.77140612725844,15.710919088766692
ATENAS,2021,35.349567949725056,31.421838177533385
ATENAS,2023,51.06048703849174,35.349567949725056
ATENAS,2024,54.988216810683426,39.27729772191673
ATENAS,2025,31.421838177533385,15.710919088766692
BAGACES,2019,92.13759213759214,97.25634725634725
BAGACES,2020,56.306306306306304,20.475020475020475
BAGACES,2021,92.13759213759214,35.83128583128583
BAGACES,2023,122.85012285012284,66.54381654381655
BAGACES,2024,148.44389844389843,40.95004095004095
BAGACES,2025,40.95004095004095,30.71253071253071
BARVA,2019,125.43039842597148,88.53910477127398
BARVA,2020,103.29562223315297,39.350713231677325
BARVA,2021,63.94490900147566,44.26955238563699
BARVA,2023,201.67240531234629,118.05213969503197
BARVA,2024,115.59272011805214,68.86374815543532
BARVA,2025,59.026069847515984,22.134776192818496
BELEN,2019,647.1594323487265,392.9182267831554
BELEN,2020,161.7898580871816,138.67702121758424
BELEN,2021,83.20621273055055,55.4708084870337
BELEN,2023,397.54079415707486,388.2956594092359
BELEN,2024,494.61470900938383,365.18282253963855
BELEN,2025,221.8832339481348,83.20621273055055
BUENOS AIRES,2019,167.97807444080985,83.98903722040492
BUENOS AIRES,2020,66.30713464768809,30.943329502254443
BUENOS AIRES,2021,68.51737246927769,37.57404296702325
BUENOS AIRES,2023,108.30165325789055,41.99451861020246
BUENOS AIRES,2024,90.61975068517371,41.99451861020246
BUENOS AIRES,2025,79.56856157722571,30.943329502254443
CANAS,2019,278.6153200259532,160.29922522041142
CANAS,2020,83.96626082973933,95.41620548834014
CANAS,2021,194.64905919621387,76.33296439067212
CANAS,2023,309.14850578222206,125.94939124460898
CANAS,2024,312.96515400175565,133.5826876836762
CANAS,2025,145.03263234227703,83.96626082973933
CARRILLO,2019,183.17978557189807,78.12079090566242
CARRILLO,2020,91.58989278594903,43.10112601691719
CARRILLO,2021,88.8960724098917,43.10112601691719
CARRILLO,2023,204.73034858035666,113.14045579440763
CARRILLO,2024,210.11798933247132,107.752815042293
CARRILLO,2025,107.752815042293,32.325844512687894
CARTAGO,2019,340.7753992616533,206.22320788651638
CARTAGO,2020,198.78564956929776,95.33597479343872
CARTAGO,2021,181.88210793925543,94.65983312823703
CARTAGO,2023,238.00186615099594,127.79077472311998
CARTAGO,2024,205.5470662213147,119.67707474069968
CARTAGO,2025,106.15424143666581,75.72786650258962
CORREDORES,2019,282.08744710860367,191.24572685329062
CORREDORES,2020,186.46458368195835,107.57572135497598
CORREDORES,2021,193.63629843895674,107.57572135497598
CORREDORES,2023,274.9157323516053,157.77772465396478
CORREDORES,2024,241.4477301522794,129.09086562597116
CORREDORES,2025,112.35686452630824,40.63971695632426
COTO BRUS,2019,135.23002106467635,111.82482511117468
COTO BRUS,2020,98.82193847034041,26.00577328166853
COTO BRUS,2021,49.41096923517021,39.008659922502794
COTO BRUS,2023,80.61789717317244,44.2098145788365
COTO BRUS,2024,101.42251579850726,59.81327854783762
COTO BRUS,2025,41.60923725066965,18.204041297167972
CURRIDABAT,2019,314.38824648038525,226.9729779468147
CURRIDABAT,2020,131.88970340152747,102.75128055700397
CURRIDABAT,2021,125.75529859215409,98.15047694997394
CURRIDABAT,2023,145.69211422261753,92.01607214060056
CURRIDABAT,2024,165.62892985308102,87.41526853357053
CURRIDABAT,2025,90.48247093825721,55.20964328436034
DESAMPARADOS,2019,238.47109797467502,150.66383252323536
DESAMPARADOS,2020,108.4395737269146,64.77585156253748
DESAMPARADOS,2021,89.2467288194961,49.421575636602675
DESAMPARADOS,2023,147.78490578712257,74.37227401624673
DESAMPARADOS,2024,137.22884108804237,81.08976973384323
DESAMPARADOS,2025,69.57406278939212,33.10765746529694
DOTA,2019,129.5336787564767,14.392630972941856
DOTA,2020,14.392630972941856,0
DOTA,2021,43.177892918825556,28.78526194588371
DOTA,2023,129.5336787564767,57.57052389176742
DOTA,2024,172.71157167530222,100.74841681059297
EL GUARCO,2019,215.3470676907616,86.13882707630465
EL GUARCO,2020,95.70980786256072,47.85490393128036
EL GUARCO,2021,81.35333668317661,45.46215873471634
EL GUARCO,2023,95.70980786256072,23.92745196564018
EL GUARCO,2024,83.74608187974063,28.712942358768213
EL GUARCO,2025,57.42588471753643,23.92745196564018
ESCAZU,2019,201.73777628342387,162.80592471995612
ESCAZU,2020,76.09407351041428,56.62814772868039
ESCAZU,2021,74.32444389389302,70.78518466085049
ESCAZU,2023,141.57036932170098,83.17259197649932
ESCAZU,2024,100.86888814171193,61.937036578244175
ESCAZU,2025,56.62814772868039,26.544444247818934
ESPARZA,2019,282.7817343946376,185.03002373970116
ESPARZA,2020,167.57436112274823,45.38472280407764
ESPARZA,2021,118.69850579527998,83.78718056137411
ESPARZA,2023,181.53889121631056,62.84038542103058
ESPARZA,2024,202.4856863566541,69.822650467811755
ESPARZA,2025,125.68077084206116,87.2783130847647
FLORES,2019,199.63068323601337,104.80610869890701
FLORES,2020,99.81534161800668,54.89843788990368
FLORES,2021,94.82457453710634,19.963068323601338
FLORES,2023,94.82457453710634,69.87073913260468
FLORES,2024,49.90767080900334,39.926136647202675
FLORES,2025,49.90767080900334,4.990767080900334
GARABITO,2019,1410.4126763015845,998.3167914562656
GARABITO,2020,533.9834000812583,417.90005223750654
GARABITO,2021,766.150095768762,632.6542457484474
GARABITO,2023,1131.8126414765802,690.6959196703233
GARABITO,2024,1143.4209762609555,638.458413140635
GARABITO,2025,545.5917348656335,377.2708804921934
GOICOECHEA,2019,285.0092106635154,225.92193528205487
GOICOECHEA,2020,134.6842306489173,79.9416078690348
GOICOECHEA,2021,145.98032741302006,85.15519099092836
GOICOECHEA,2023,147.71818845365127,97.3202182753467
GOICOECHEA,2024,178.1307566646971,95.5823572347155
GOICOECHEA,2025,86.89305203155956,41.70866497514859
GOLFITO,2019,234.99361430395913,173.69093231162196
GOLFITO,2020,125.15964240102171,71.51979565772669
GOLFITO,2021,196.6794380587484,81.73690932311622
GOLFITO,2023,229.88505747126436,117.49680715197957
GOLFITO,2024,173.69093231162196,66.41123882503193
GOLFITO,2025,81.73690932311622,43.42273307790549
GRECIA,2019,62922.605195609394,37953.31741957393
GRECIA,2020,53933.66159623663,20974.201731869798
GRECIA,2021,21972.97324291122,22971.744753952637
GRECIA,2023,53933.66159623663,21972.97324291122
GRECIA,2024,59926.29066248514,32959.45986436682
GRECIA,2025,18976.658709786963,16979.115687704125
GUACIMO,2019,203.55740803567102,89.66219163475985
GUACIMO,2020,152.66805602675325,50.889352008917754
GUACIMO,2021,159.93796345659865,72.69907429845392
GUACIMO,2023,99.35540154122039,55.735956962148016
GUACIMO,2024,116.3185188775263,43.61944457907236
GUACIMO,2025,79.96898172829933,38.772839625842096
GUATUSO,2019,83.827701831312865,51.58627805003869
GUATUSO,2020,19.344854268764507,6.448284756254837
GUATUSO,2021,51.58627805003869,25.793139025019347
GUATUSO,2023,70.93113231880321,58.03456280629352
GUATUSO,2024,135.41397988135157,77.37941707505803
GUATUSO,2025,58.03456280629352,45.13799329378386
HEREDIA,2019,506.40693761325394,400.4336008283717
HEREDIA,2020,290.4154801967383,170.68987833290188
HEREDIA,2021,181.2063163344551,148.039088791095
HEREDIA,2023,400.4336008283717,250.77659849857625
HEREDIA,2024,364.8395029769609,239.45120372767278
HEREDIA,2025,244.30494434377428,123.77038571058762
HOJANCHA,2019,41.68403501458941,13.894678338196472
HOJANCHA,2020,0,27.789356676392945
HOJANCHA,2021,111.15742670557178,0
HOJANCHA,2023,41.68403501458941,69.47339169098235
HOJANCHA,2024,69.47339169098235,69.47339169098235
HOJANCHA,2025,55.57871335278589,69.47339169098235
JIMENEZ,2019,190.8787238393892,95.4393619196946
JIMENEZ,2020,224.96421023928013,81.80516735973823
JIMENEZ,2021,61.353875519803665,27.268389119912744
JIMENEZ,2023,95.4393619196946,54.53677823982549
JIMENEZ,2024,61.353875519803665,74.98807007976004
JIMENEZ,2025,6.817097279978186,0
LA CRUZ,2019,229.39367082008238,83.41588029821177
LA CRUZ,2020,83.41588029821177,67.77540274229706
LA CRUZ,2021,172.04525311506177,83.41588029821177
LA CRUZ,2023,145.9777905218706,78.20238777957354
LA CRUZ,2024,172.04525311506177,67.77540274229706
LA CRUZ,2025,109.48334289140294,20.853970074552944
LA UNION,2019,307.8501795792714,198.19112868338715
LA UNION,2020,228.3725188382177,106.64091188040122
LA UNION,2021,133.8041630197487,69.41719735611022
LA UNION,2023,146.88276542017525,80.48370707954808
LA UNION,2024,101.61068018792946,52.31440960170626
LA UNION,2025,70.42324369460457,37.22371452429099
LIBERIA,2019,420.7217362312859,295.29902995856287
LIBERIA,2020,273.0722212520044,111.13404353279249
LIBERIA,2021,234.96912061218984,150.82477336593266
LIBERIA,2023,484.2269039643101,268.30933367202755
LIBERIA,2024,520.742375410799,234.96912061218984
LIBERIA,2025,314.35058027847015,154.00003175258388
LIMON,2019,368.5855001853519,223.4814383307737
LIMON,2020,189.58851877349997,91.08722131017318
LIMON,2021,171.5829052586983,93.20552878250278
LIMON,2023,317.7461208494413,133.45337075676534
LIMON,2024,245.7236667902346,96.3829899909972
LIMON,2025,151.45898427156703,48.721071863581
LOS CHILES,2019,282.2835475036865,185.38024015167474
LOS CHILES,2020,92.69012007583737,84.26374552348852
LOS CHILES,2021,139.03518011375604,84.26374552348852
LOS CHILES,2023,227.512112913419,164.3143037708026
LOS CHILES,2024,248.57804929429113,122.18243100905835
LOS CHILES,2025,96.9033073520118,80.0505582473141
MATINA,2019,506.3492484292569,283.66162084780365
MATINA,2020,392.3543914530368,127.2500729036876
MATINA,2021,458.63047109037404,108.69277060523315
MATINA,2023,487.79194613080244,132.55215927467458
MATINA,2024,283.66162084780365,79.53129556480475
MATINA,2025,132.55215927467458,42.41669096789587
MONTES DE OCA,2019,1127.5746967353252,777.4973540665961
MONTES DE OCA,2020,236.09867296263127,191.3213384352357
MONTES DE OCA,2021,209.6393389237157,142.47333713262233
MONTES DE OCA,2023,531.2220141659204,289.01734104046244
MONTES DE OCA,2024,480.33867947569814,258.4873402263291
MONTES DE OCA,2025,191.3213384352357,124.15533664414231
MONTES DE ORO,2019,185.32818532818533,84.94208494208495
MONTES DE ORO,2020,69.4980694980695,38.61003861003861
MONTES DE ORO,2021,38.61003861003861,46.33204633204633
MONTES DE ORO,2023,77.22007722007721,69.4980694980695
MONTES DE ORO,2024,185.32818532818533,115.83011583011583
MONTES DE ORO,2025,23.166023166023166,38.61003861003861
MORA,2019,91.27557617707463,26.622043051646763
MORA,2020,41.8346390811592,19.015745036890547
MORA,2021,34.22834106640298,7.606298014756218
MORA,2023,76.06298014756219,57.047235110671636
MORA,2024,72.25983114018408,30.425192059024873
MORA,2025,41.8346390811592,7.606298014756218
MORAVIA,2019,180.95890651627752,177.44514134120416
MORAVIA,2020,96.62854231451712,52.706477626100245
MORAVIA,2021,77.3028338516137,35.1376517507335
MORAVIA,2023,130.00931147771394,54.46336021363692
MORAVIA,2024,121.22489854003057,59.73400797624694
MORAVIA,2025,61.49089056378363,28.1101214005868
NANDAYURE,2019,98.91196834817012,17.983994245121842
NANDAYURE,2020,8.991997122560921,0
NANDAYURE,2021,26.975991367682763,0
NANDAYURE,2023,26.975991367682763,0
NANDAYURE,2024,44.9599856128046,8.991997122560921
NANDAYURE,2025,26.975991367682763,0
NARANJO,2019,49.1653594924262,51.50656708730364
NARANJO,2020,46.82415189754876,28.094491138529254
NARANJO,2021,49.1653594924262,35.118113923161566
NARANJO,2023,56.18898227705851,23.41207594877438
NARANJO,2024,56.18898227705851,16.388453164142067
NARANJO,2025,46.82415189754876,21.07086835389694
NICOYA,2019,200.68863748155434,157.4028529267093
NICOYA,2020,82.63649778652238,78.70142646335465
NICOYA,2021,145.5976389572061,104.2793900639449
NICOYA,2023,194.78603049680277,90.50664043285785
NICOYA,2024,200.68863748155434,120.01967535661583
NICOYA,2025,116.0846040334481,70.83128381701918
